doc_id,moodle_question_id,moodle_qbe_id,function,cbta_subtask,source_status,moodle_category,dgr_reference,verification_date,reviewer_status,pilot_action
Q-7.1-001,,,7.1,0.1.4 Danger vs risque,FR SOURCE GAP CONFIRMED,,DGR silent by design (Appendice A Généralités p.703 + §1.0 Note),2026-08-24,PENDING REVIEWER + DATE,excluded (GAP status per instructions)
Q-7.1-002,80,80,7.1,Marchandises interdites (Acétylène liquide),FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),Table 4.2 Acétylène (liquide) + §2.1.1/§2.1.2,2026-08-24,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-003,81,81,7.1,Nombre de classes de danger,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§3.0.1.1 + §3.0.2,2026-08-24,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-004,82,82,7.1,Étiquette Classe 8 (corrosif),FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§7.3.17 + Figure 7.3.V,2026-08-24,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-005,,,7.1,Classification Propane,FROZEN FR / SOURCE VERIFIED,NOT IMPORTED,Table 4.2 UN1978 Propane,2026-08-24,PENDING REVIEWER + DATE,BLOCKED - full question text not found in any accessible source (see report)
Q-7.1-006,83,83,7.1,Groupe d'emballage - corrosivité,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),Tableau 3.8.A + §3.8.3.3.1-3,2026-08-25,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-007,,,7.1,Dispositions particulières A1/A2,FROZEN FR / SOURCE VERIFIED,NOT IMPORTED,§4.4 A1/A2,2026-08-24,PENDING REVIEWER + DATE,BLOCKED - full question text not found in any accessible source (see report)
Q-7.1-008,,,7.1,Quantité exceptée code E0,FROZEN FR / SOURCE VERIFIED,NOT IMPORTED,Tableau 2.6.A,2026-08-24,PENDING REVIEWER + DATE,BLOCKED - full question text not found in any accessible source (see report)
Q-7.1-009,84,84,7.1,Piles lithium-ion PI 965,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),PI 965 Section IA/IB + Tables 965-IA/IB,2026-08-24,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-010,,,7.1,Marquage neige carbonique,FROZEN FR / SOURCE VERIFIED,NOT IMPORTED,§7.1.4.1(d) UN1845,2026-08-24,PENDING REVIEWER + DATE,BLOCKED - full question text not found in any accessible source (see report)
Q-7.1-011,85,85,7.1,Étiquettes sur suremballage,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§7.2.7.1,2026-08-24,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-012,,,7.1,Conservation des documents,FROZEN FR / SOURCE VERIFIED,NOT IMPORTED,§1.3.4.1,2026-08-24,PENDING REVIEWER + DATE,BLOCKED - full question text not found in any accessible source (see report)
Q-7.1-013,86,86,7.1,0.1.1 Comprendre la définition,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§1.0 Définition des MD (p.11),2026-08-25,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-014,90,90,7.1,0.1.2 Reconnaître le cadre juridique,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§1.1.1-1.1.4 (p.11),2026-08-25,PENDING REVIEWER + DATE,NEW (created in cat.18)
Q-7.1-015,87,87,7.1,0.1.3 Application et portée,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§1.2.1 (p.11),2026-08-25,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-016,88,88,7.1,0.2.2 MD potentiellement cachées,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§2.2.4 (p.12 area),2026-08-25,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-017,91,91,7.1,0.2.3 Dispositions passagers,FROZEN FR / SOURCE VERIFIED,Fonction 7.1 (id 18),§2.3.0.1 (p.12 area),2026-08-25,PENDING REVIEWER + DATE,NEW (created in cat.18)
Q-7.1-018,89,89,7.1,0.4.1 Classes et divisions,FROZEN FR / SOURCE VERIFIED (citation corrigée),Fonction 7.1 (id 18),Table 4.2 UN1830 + Appendice A (p.703),2026-08-25,PENDING REVIEWER + DATE,reused (moved from cat.16 to cat.18)
Q-7.1-019,92,92,7.1,0.5.1 Prescriptions de marquage,FROZEN FR / SOURCE VERIFIED (contenu corrigé),Fonction 7.1 (id 18),§7.1.3.2 Qualité (p.688 area),2026-08-25,PENDING REVIEWER + DATE,NEW (created in cat.18)
