KOST_ID,FUNCTION,FR_STATUS,SOURCE_REFERENCE,FULL_TEXT_RECOVERABLE,CORRECT_ANSWER_RECOVERABLE,IMPORT_ELIGIBLE,BLOCKER
Q-7.1-001,7.1,FR SOURCE GAP CONFIRMED,"Appendice A Généralités (p.703) + §1.0 Note (p.11): DGR glossary excludes ordinary/dictionary-sense terms by explicit policy; no ""Danger""/""Risque"" hea",YES,YES,NO,"status is FR SOURCE GAP CONFIRMED, not FROZEN"
Q-7.1-002,7.1,FROZEN FR / SOURCE VERIFIED,Table 4.2 Acétylène (liquide) + §2.1.1 + Note 1 + §2.1.2 distinction,YES,YES,YES,
Q-7.1-003,7.1,FROZEN FR / SOURCE VERIFIED,§3.0.1.1 + §3.0.2,YES,YES,YES,
Q-7.1-004,7.1,FROZEN FR / SOURCE VERIFIED,§7.3.17 + Figure 7.3.V,YES,YES,YES,
Q-7.1-005,7.1,FROZEN FR / SOURCE VERIFIED,"Table 4.2, UN 1978 Propane",NO,NO,NO,full administered wording not safely recoverable
Q-7.1-006,7.1,FROZEN FR / SOURCE VERIFIED,§3.8.3.3.1–3 + Tableau 3.8.A (p.315),YES,YES,YES,
Q-7.1-007,7.1,FROZEN FR / SOURCE VERIFIED,"§4.4 Dispositions particulières, A1 + A2 (p.424)",NO,NO,NO,full administered wording not safely recoverable
Q-7.1-008,7.1,FROZEN FR / SOURCE VERIFIED,Tableau 2.6.A (p.12),NO,NO,NO,full administered wording not safely recoverable
Q-7.1-009,7.1,FROZEN FR / SOURCE VERIFIED,"PI 965, Section IA/IB, Tables 965-IA/965-IB",YES,YES,YES,
Q-7.1-010,7.1,FROZEN FR / SOURCE VERIFIED,"§7.1.4.1(d), UN 1845",NO,NO,NO,full administered wording not safely recoverable
Q-7.1-011,7.1,FROZEN FR / SOURCE VERIFIED,"§7.2.7.1, labels-only scope",YES,YES,YES,
Q-7.1-012,7.1,FROZEN FR / SOURCE VERIFIED,§1.3.4.1; §1.3.4.2 supporting only,NO,NO,NO,full administered wording not safely recoverable
Q-7.1-013,7.1,FROZEN FR / SOURCE VERIFIED,"§1.0 Définition des marchandises dangereuses (Partie 1, Bookshelf p.11), sub-task 0.1.1 Définition MD",YES,YES,YES,
Q-7.1-014,7.1,FROZEN FR / SOURCE VERIFIED,"§1.1.1–1.1.4 Fondements de la présente Réglementation (Partie 1, Bookshelf p.11), sub-task 0.1.2 Cadre juridique",YES,YES,YES,
Q-7.1-015,7.1,FROZEN FR / SOURCE VERIFIED,"§1.2.1 Application (Partie 1, Bookshelf p.11), sub-task 0.1.3 Application/portée",YES,YES,YES,
Q-7.1-016,7.1,FROZEN FR / SOURCE VERIFIED,"§2.2.4 Marchandises dangereuses cachées, liste d'exemples (Partie 2, Bookshelf p.12 area), sub-task 0.2.2 MD cachées",YES,YES,YES,
Q-7.1-017,7.1,FROZEN FR / SOURCE VERIFIED,"§2.3.0.1 (Partie 2, Bookshelf p.12 area), sub-task 0.2.3 Passagers",YES,YES,YES,
Q-7.1-018,7.1,FROZEN FR / SOURCE VERIFIED,"Table 4.2, UN1830 Acide sulfurique (Bookshelf p.326) + Appendice A Glossaire (p.703); §3.0.2 (p.307) for class-label taxonomy only, sub-task 0.4.1 Cla",YES,YES,YES,
