doc_id,function,cbta_subtask,source_status,moodle_category,category_id,dgr_reference,verification_date,reviewer_status,quiz_id
Q-7.8-001,7.8,6.2.2 Interpréter la NOTOC,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,§9.5.1.1.3(a),2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-006,7.8,6.2.4 Informer l'agent des opérations aériennes/le régulateur de vols/le contrôle de la circulation aérienne en cas d'urgence,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,"§9.5.1.1.9, §9.5.1.1.1(b)",2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-012,7.8,0.2.3 Être au courant des dispositions s'appliquant aux passagers,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,"§2.5.1.3, §2.5.2, §2.5.1",2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-020,7.8,0.3.3 Reconnaître l'impact des divergences des États et des exploitants,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,"§2.8.1.3, §2.8.3.5",2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-022,7.8,0.5.1 Reconnaître les prescriptions de base concernant le marquage,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,§6.0.4.2.1(c),2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-023,7.8,0.5.3 Déterminer les documents exigés,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,"Tableau 9.5.A, §2.6.1), §9.5.1.1.3.4).",2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-024,7.8,6.2.2 Interpréter la NOTOC,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,"Tableau 9.5.A, §9.5.1.1.3.4",2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-025,7.8,6.2.2 Interpréter la NOTOC,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,§9.5.1.1.1(a),2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-041,7.8,0.3.3 Reconnaître l'impact des divergences des États et des exploitants,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,"§2.8.3.1, §2.8.3.5",2026-08-25,PENDING REVIEWER + DATE,19
Q-7.8-049,7.8,6.2.2 Interpréter la NOTOC,FROZEN FR / SOURCE VERIFIED,Fonction 7.8,25,§9.5.1.1.10,2026-08-25,PENDING REVIEWER + DATE,19
